Timestamp	How many rows do you have? 	What is the row count for January, 2012? 	What is the row count for October, 2012? 	What month has the fewest rows? 	How many rows does it have? 	What month has the most rows? 	How many rows does it have? 	What value is in the field `Null_TS`?	What value is in the field `Null_Local`?	What card_no is number five on your list? 	How many rows does that card number have? 	How many rows do you have for card 18736 (me)? 	What product is has the most rows?	How many rows does it have? 	What product is number 4 in the row count?	How many rows does it have?	How many single record items did you have? 	What full year has the highest portion of owner rows? 	What fraction of rows were from owners in that year? 	What full year has the lowest portion of owner rows? 	What fraction of rows were from owners in that year? 
10/26/2019 13:34:45	85760139	1070907	1042287	February	6556770	May	7578372	7123792	234843	14987	460630	12153	banana organic	908639	avocado hass organic	456771	2769	2014	0.7591	2011	0.7372
10/26/2019 15:32:38	85760139	1070907	1042287	August	858168	April	1135000	1556071	71408	14987	460625	12153	banana organic	908639	avocado hass organic	456771	2721	2012	0.7418	2016	0.7501
10/27/2019 2:21:26	85760137	1070907	1042287	February	6556770	May	7578372	7123791	234843	14987	460630	12153	banana organic	908639	avocado hass organic	456771	2741	2012	0.7418	2016	0.7513
10/27/2019 12:11:00	85779746	1070907	1042287	December	988998	April	1135000	7136236	234551	14987	460807	12019	banana organic	910095	avocado hass organic	452788	2856	2014	0.7591	2011	0.7372
10/27/2019 16:57:53	85760139	1070907	1042287	February	6556770	May	7578372	7123792	234843	14987	460630	12153	banana organic	908639	avocado hass organic	456771	2769	2014	0.7591	2011	0.7372
10/27/2019 17:14:33	85760124	1070907	1042287	February	6556769	May	7578371	7123787	234843	14987	460630	12153	banana organic	908637	avocado hass organic	456771	2741	2012	0.7418	2011	0.7372
10/27/2019 22:41:18	85760139	1070907	1042287	February	6556770	May	7578372	7123792	234843	14987	460630	12153	banana organic	908639	avocado hass organic	456771	2777	2014	0.7591	2011	0.7372
10/28/2019 7:42:43	86698863	1070906	1042285	February	6556769	May	8517139	7290306	237810	14987	465894	12443	banana organic	917826	avocado hass organic	457162	2777	2014	0.7591	2011	0.7372
10/28/2019 10:15:26	85760139	1070907	1042287	February	6556770	May	7578372	7123792	234843	14987	164864	12153	banana organic	908639	avocado hass organic	456771	2741	2012	0.7418	2016	0.7501
10/28/2019 11:43:54	85300599	1070907	1042287	February	6556770	May	7578372	7044895	233427	14987	457831	12153	banana organic	904027	avocado hass organic	453980	2762	2012	0.7418	2016	0.7501
10/28/2019 12:51:50	79031880	1164857	955439	July	4567329	January	8883676	7017259	206662	46515	463270	10594	banana organic	827702	avocado hass organic	416800	2645	2016	0.752	2011	0.7372
10/28/2019 14:09:55	86494576	1070907	1042287	February	6556770	December	7880679	7286228	236940	14987	466447	12220	banana organic	916173	avocado hass organic	455820	2782	2014	0.7591	2011	0.7372
10/28/2019 14:21:54	88752670	1070905	1042285	February	6556769	August	8018857	7306061	234843	14987	477334	12153	banana organic	943816	avocado hass organic	466423	2705	2016	0.7513	2010	0.7394
10/28/2019 16:18:41	83725050	1070907	1042287	February	5610874	October	8091806	6811881	230305	14987	448620	12043	banana organic	887789	avocado hass oragnic	435903	2742	2012	0.7418	2015	0.7404
10/28/2019 19:42:50	85760139	1070907	1042287	February	6556770	May	7578372	7123792	234843	14987	460630	12153	banana organic	908639	avocado hass organic	456771	2769	2014	0.7591	2011	0.7372
10/28/2019 21:07:19	85760077	1070905	1042285	February	6556769	May	7578369	7123786	234843	14987	460630	12153	banana organic	908637	avocado hass organic	456771	2834	2014	0.7591	2011	0.7372
